time	V(out_positive,out_negative)
2.783870658748991e-02	3.190801e+00
2.784870658748990e-02	3.190803e+00
2.785870658748990e-02	3.190801e+00
2.786870658748990e-02	3.190803e+00
2.787870658748990e-02	3.190801e+00
2.788870658748990e-02	3.190803e+00
2.789870658748990e-02	3.190801e+00
2.790870658748990e-02	3.190803e+00
2.791870658748991e-02	3.190801e+00
2.792870658748991e-02	3.190803e+00
2.793870658748990e-02	3.190801e+00
2.794870658748990e-02	3.190803e+00
2.795870658748990e-02	3.190801e+00
2.796870658748990e-02	3.190803e+00
2.797870658748990e-02	3.190801e+00
2.798870658748990e-02	3.190803e+00
2.799870658748990e-02	3.190801e+00
2.800870658748991e-02	3.190803e+00
2.801870658748990e-02	3.190801e+00
2.802870658748990e-02	3.190803e+00
2.803870658748990e-02	3.190801e+00
2.804870658748990e-02	3.190803e+00
2.805870658748990e-02	3.190801e+00
2.806870658748990e-02	3.190803e+00
2.807870658748990e-02	3.190801e+00
2.808870658748991e-02	3.190803e+00
2.809870658748991e-02	3.190801e+00
2.810870658748990e-02	3.190803e+00
2.811870658748990e-02	3.190801e+00
2.812870658748990e-02	3.190803e+00
2.813870658748990e-02	3.190801e+00
2.814870658748990e-02	3.190803e+00
2.815870658748990e-02	3.190801e+00
2.816870658748990e-02	3.190803e+00
2.817870658748991e-02	3.190801e+00
2.818870658748990e-02	3.190803e+00
2.819870658748990e-02	3.190801e+00
2.820870658748990e-02	3.190803e+00
2.821870658748990e-02	3.190801e+00
2.822870658748990e-02	3.190803e+00
2.823870658748990e-02	3.190801e+00
2.824870658748990e-02	3.190803e+00
2.825870658748990e-02	3.190801e+00
2.826870658748991e-02	3.190803e+00
2.827870658748990e-02	3.190801e+00
2.828870658748990e-02	3.190803e+00
2.829870658748990e-02	3.190801e+00
2.830870658748990e-02	3.190803e+00
2.831870658748990e-02	3.190801e+00
2.832870658748990e-02	3.190803e+00
2.833870658748990e-02	3.190801e+00
2.834870658748991e-02	3.190803e+00
2.835870658748990e-02	3.190801e+00
2.836870658748990e-02	3.190803e+00
