config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,0.0004571057302604581,-1.6555233,-1.6555233,-0.00024544648,-0.00024544648,3.2995896,3.29959,0.008130784380728019
3.0,0.0004671057302604581,-1.6557451,-1.6557451,-0.00028332637,-0.00028332637,3.2995982,3.2995985,0.008239657870972169
3.0,0.0004771057302604581,-1.6553714,-1.6553714,-0.00024384551,-0.00024384551,3.2996058,3.299606,0.00834853186413051
3.0,0.0004871057302604581,-1.6556059,-1.6556059,-0.00028215162,-0.00028215162,3.2996125,3.2996128,0.008457406304323685
3.0,0.0004971057302604581,-1.6552404,-1.6552404,-0.0002429987,-0.0002429987,3.2996187,3.299619,0.008566281144985569
3.0,0.0005071057302604581,-1.6554861,-1.6554861,-0.00028153977,-0.00028153977,3.2996247,3.2996247,0.008675156376802932
3.0,0.0005171057302604581,-1.6551279,-1.6551279,-0.00024257026,-0.00024257026,3.2996297,3.2996297,0.008784031943896424
3.0,0.000527105730260458,-1.6553828,-1.6553828,-0.00028123826,-0.00028123826,3.2996345,3.2996345,0.008892907818326365
3.0,0.0005371057302604581,-1.6550308,-1.6550308,-0.00024237065,-0.00024237065,3.2996387,3.2996385,0.00900178397215308
3.0,0.0005471057302604581,-1.6552938,-1.6552938,-0.00028110502,-0.00028110502,3.2996423,3.2996426,0.009110660377436889
3.0,0.0005571057302604581,-1.6549473,-1.6549473,-0.00024229356,-0.00024229356,3.2996461,3.299646,0.00921953701555134
3.0,0.000567105730260458,-1.655217,-1.655217,-0.00028106064,-0.00028106064,3.2996492,3.2996492,0.009328413867869985
3.0,0.0005771057302604581,-1.6548752,-1.6548752,-0.00024227999,-0.00024227999,3.299652,3.299652,0.009437290906453143
3.0,0.0005871057302604581,-1.6551505,-1.6551505,-0.0002810612,-0.0002810612,3.299655,3.299655,0.009546168131300818
3.0,0.0005971057302604581,-1.6548125,-1.6548125,-0.00024229738,-0.00024229738,3.2996576,3.2996573,0.009655045523786555
3.0,0.000607105730260458,-1.6550927,-1.6550927,-0.0002810828,-0.0002810828,3.2996597,3.2996597,0.009763923074597131
3.0,0.0006171057302604581,-1.6547581,-1.6547581,-0.0002423283,-0.0002423283,3.2996619,3.2996619,0.009872800765106092
3.0,0.0006271057302604581,-1.6550425,-1.6550425,-0.0002811126,-0.0002811126,3.2996638,3.2996638,0.009981678576686989
3.0,0.0006371057302604581,-1.6547109,-1.6547109,-0.00024236352,-0.00024236352,3.2996657,3.2996657,0.010090556509339819
3.0,0.000647105730260458,-1.6549988,-1.6549988,-0.00028114408,-0.00028114408,3.2996674,3.2996674,0.01019943455375136
3.0,0.0006571057302604581,-1.6546696,-1.6546696,-0.00024239841,-0.00024239841,3.2996688,3.2996688,0.010308312700608384
3.0,0.0006671057302604581,-1.6549605,-1.6549605,-0.00028117406,-0.00028117406,3.2996702,3.2996702,0.010417190940597664
3.0,0.0006771057302604581,-1.6546338,-1.6546338,-0.00024243088,-0.00024243088,3.2996716,3.2996716,0.0105260692737192
3.0,0.000687105730260458,-1.6549273,-1.6549273,-0.00028120112,-0.00028120112,3.2996728,3.2996728,0.010634947681346544
3.0,0.0006971057302604581,-1.6546024,-1.6546024,-0.00024246008,-0.00024246007,3.299674,3.299674,0.01074382617279292
3.0,0.0007071057302604581,-1.6548982,-1.6548982,-0.00028122484,-0.00028122484,3.299675,3.299675,0.010852704720118652
3.0,0.0007171057302604581,-1.654575,-1.654575,-0.0002424859,-0.0002424859,3.2996762,3.299676,0.010961583341950187
3.0,0.000727105730260458,-1.6548727,-1.6548727,-0.00028124533,-0.00028124533,3.2996771,3.299677,0.011070462019661078
3.0,0.0007371057302604581,-1.6545511,-1.6545511,-0.0002425085,-0.0002425085,3.2996778,3.2996778,0.011179340753251324
